id,Author,Pub_Year,pubmedid,EpiCurve,TDComment,AHComment,Trans1,Trans1_O,Trans2,Trans2_O,Trans3,Trans3_O,Risk1,Risk2,RiskAll,Cases1,Cases2,CasesAll,Rate1,Rate2,RateAll,Hospitalizations,Deaths,Vehicle_1,Veh1,Veh1_D_1,Veh2,Veh2_D_1,Veh3,Veh3_D_1,PCRSect,OBYear,Hemisphere,season,MeanI1,MedianI1,Range_S_I1,Range_L_I1,MeanD1,MedianD1,Range_S_D1,Range_L_D1,MeanA1,MedianA1,Range_Y_A1,Range_O_A1,Action1,Action2_1,Secondary,MeanI2,MedianI2,Range_S_I2,Range_L_I2,MeanD2,MedianD2,Range_S_D2,Range_L_D2,Mea 2,Media 2,Range_Y_A2,Range_O_A2,Comments_1,Path1,Path2_1,Country,Category,State,Setting_1,StartMonth,EndMonth,GGA,CA,SA,new_GGA,new_CA,new_SA,SA_resolved_from,GGB,CB,SB,new_GGB,new_CB,new_SB,SB_resolved_from,GGC,CC,SC,new_ggc,new_cc,new_sc,SC_resolved_from,GGD,CD,SD,new_ggd,new_cd,new_sd,SD_resolved_from,StrainOther,strainother_rc,gge,ce,se,SE_resolved_from,ggf,cf,sf,ggg,cg,sg,ggh,ch,sh,ggi,ci,si,ggj,cj,sj,Country2,Veh1_D_2,Veh2_D_2,Veh3_D_2,Action2_2,Comments_2,Path2_2,Setting_2,category1,strainothergg2c4,gg2c4,Vomit,IncInd,SymInd,PooledLat,PooledSym,PooledAge,IndividualLatent,IndividualSymptomatic
2,Akihara,2005,15841336,Y,,,Unspecified,0,  (not applicable),0,  (not applicable),0,0,,0,15,,15,,,0,0,0,0,Unspecified,0,No,0,No,0,Capsid,1999,Northern,Fall,0,0,0,0,0,0,0,0, , ,0.75,2,Unspecified,0,No,0,0,0,0,0,0,0,0,0,0,0,0,Outbreak took place during a study on gasteroenteritus in a day care center. Same paper as outbreak # 2,No,0,Japan,Daycare,0,Daycare Center,11,12,2,4,Lordsdale,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Limited data,0,0,School/Daycare,0,Yes,1,0,0,0,0,0,,
17,Becker,2000,11071673,Y,,,Foodborne,0,Person to Person,0,  (not applicable),0,108,,108,43,22,65,39.81481481,,39.81481481,0,0,Boxed Lunch,Yes,Turkey Sandwich in boxed lunch,Yes,Football players,No,0,Polymerase,1998,Northern,Fall,0,37,0,0,0,36,0,0, , ,0,0,Unspecified,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,"Secondary cases include both persons from NC and FL, some secondary cases were included in # at risk of primary infection",No,0,USA,Foodservice,"NC, FL","Boxed lunch, football game",9,9,1,0,Thistle Hall 1/91,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boxed Lunch,0,0,0,0,0,0,Foodservice,0,,1,0,0,37,36,0,,
39,Boxman,2009,19205471,N,,,Foodborne,0,  (not applicable),0,  (not applicable),0,130,,130,27,,27,20.76923077,,20.76923077,0,0,0,Unspecified,0,No,0,No,0,Both,2006,Northern,Fall,0,0,0,0,0,0,0,0, , ,0,0,Unspecified,0,No,0,0,0,0,0,0,0,0,0,0,0,0,VWA outbreak no. 68592 in Table 1,Unspecified,0,Other,Foodservice,0,buffet,9,0,2,4,GII.4 2006a,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Netherlands,0,0,0,0,Outbreak 19 of 26 Boxman 2009,0,Buffet,Foodservice,0,Yes,1,0,0,0,0,0,,
40,Boxman,2009,19205471,N,,,Foodborne,0,  (not applicable),0,  (not applicable),0,4,,4,4,,4,100,,100,0,0,0,Unspecified,0,No,0,No,0,Both,2006,Northern,Fall,0,0,0,0,0,0,0,0, , ,0,0,Unspecified,0,No,0,0,0,0,0,0,0,0,0,0,0,0,VWA outbreak no. 69113 in Table 1,Unspecified,0,Other,Foodservice,0,restaurant,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Netherlands,0,0,0,0,Outbreak 20 of 26 Boxman 2009,0,Restaurant,Foodservice,0,,1,0,0,0,0,0,,
41,Boxman,2009,19205471,N,,,Foodborne,0,  (not applicable),0,  (not applicable),0,25,,25,15,,15,60,,60,0,0,0,Unspecified,0,No,0,No,0,Both,2006,Northern,Fall,0,0,0,0,0,0,0,0, , ,0,0,Unspecified,0,No,0,0,0,0,0,0,0,0,0,0,0,0,VWA outbreak no. 69479 in Table 1,Unspecified,0,Other,Foodservice,0,buffet,11,0,2,4,GII.4 2006b,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Netherlands,0,0,0,0,Outbreak 21 of 26 Boxman 2009,0,Buffet,Foodservice,0,Yes,1,0,0,0,0,0,,
42,Boxman,2009,19205471,N,,,Foodborne,0,  (not applicable),0,  (not applicable),0,8,,8,6,,6,75,,75,0,0,0,Unspecified,0,No,0,No,0,Both,2006,Northern,Fall,0,0,0,0,0,0,0,0, , ,0,0,Unspecified,0,No,0,0,0,0,0,0,0,0,0,0,0,0,VWA outbreak no. 69490 in Table 1,Unspecified,0,Other,Foodservice,0,take-out restaurant,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Netherlands,0,0,0,0,Outbreak 22 of 26 Boxman 2009,0,take out restaurant,Foodservice,0,,1,0,0,0,0,0,,
43,Boxman,2009,19205471,N,,,Foodborne,0,  (not applicable),0,  (not applicable),0,48,,48,40,,40,83.33333333,,83.33333333,0,0,0,Unspecified,0,No,0,No,0,Both,2006,Northern,Fall,0,0,0,0,0,0,0,0, , ,0,0,Unspecified,0,No,0,0,0,0,0,0,0,0,0,0,0,0,VWA outnreak no. 69595 in Table 1,Unspecified,0,Other,Foodservice,0,buffet,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Netherlands,0,0,0,0,Outbreak 23 of 26 Boxman 2009,0,Buffet,Foodservice,0,,1,0,0,0,0,0,,
44,Boxman,2009,19205471,N,,,Foodborne,0,  (not applicable),0,  (not applicable),0,12,,12,10,,10,83.33333333,,83.33333333,0,0,0,Unspecified,0,No,0,No,0,Both,2006,Northern,Fall,0,0,0,0,0,0,0,0, , ,0,0,Unspecified,0,No,0,0,0,0,0,0,0,0,0,0,0,0,VWA outbreak no. 69755 in Table 1,Unspecified,0,Other,Foodservice,0,restaurant,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Netherlands,0,0,0,0,Outbreak 24 of 26 Boxman 2009,0,Restaurant,Foodservice,0,,1,0,0,0,0,0,,
67,Carlsson,2009,19440360,N,,,Unspecified,0,  (not applicable),0,  (not applicable),0,220,,220,116,,116,54.2,,54.2,5,0,0,Unspecified,0,No,0,No,0,Both,2004,Northern,Fall,0,0,0,0,0,0,0,0, , ,0,0,Unspecified,0,No,0,0,0,0,0,0,0,0,0,0,0,0,nursing home GII.4 outbreak in Spain; describes the first example of symptomatic GII.4 norovirus infection of a Lea+b2 individual homozygous for the G428A nonsense mutation in FUT2,No,0,Other,Nursing Home,0,in El Grao de Castello_n,11,11,2,4,Valencia/2004/Es,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,"GII.4a-2004 variant virus, most similar to the GII.4 strain Mo stir/2003/Tun [EU916960]",0,2,4,GII.4a 2004,abstraction of StrainOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spain,0,0,0,0,Article focused on genetic mutations and susceptability; little information on the actual outbreak except for the required bits of info.,0,130 bed nursing home for the elderly in el grao de castellon,Hospital/Nursi,0,Yes,1,0,0,0,0,0,,
74,CDC,1994,8202078,N,,,Foodborne,0,  (not applicable),0,  (not applicable),0,71.42857143,,71.42857143,45,,45,63,,63,10,0,Oysters,Yes,Oysters,No,0,No,0,Unspecified,1993,Northern,Fall,0,31,2,69,0,48,10,168, , ,0,0,Yes,Oyster harvesting area was cloased for seven days,No,0,0,0,0,0,0,0,0,0,0,0,0,"Outbreak from oysters collected in one bay off the coast of FL, no outbreak setting specified, number at risk is unclear",Unspecified,0,USA,Unspecified,FL,0,11,11,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oysters,0,0,closed shellfish harvesting area of apalachicola bay dec 1-7,0,0,0,Unknown,0,,1,0,0,31,48,0,,
